sorting.id,FY,hyperlink,Department,titles,links,service,program,reserve.or.not,amended.or.not
1,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,Budget Highlights Book,http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/highbook/HIGHLIGHTS_BOOK.PDF,NA,summary.docs,not.reserve,PBR.for.this.program.was.amended
2,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,Office of Budget FY01 Databook,http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/misc/DATABOOK.PDF,NA,summary.docs,not.reserve,PBR.for.this.program.was.amended
3,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,Supporting Exhibits,http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/SUPP/SUPP_BOOK.pdf,NA,summary.docs,not.reserve,PBR.for.this.program.was.amended
4,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Operation & Maintenance, Navy",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/ops/OMN_BOOK.PDF,Navy,O.M,not.reserve,PBR.for.this.program.was.amended
5,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Operation & Maintenance, Navy Databook",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/ops/OMN_DATABOOK.PDF,Navy,O.M,not.reserve,PBR.for.this.program.was.amended
6,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Operation & Maintenance, Marine Corps",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/ops/OMMC_BOOK.PDF,Marine.Corps,O.M,not.reserve,PBR.for.this.program.was.amended
7,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Operation & Maintenance, Marine Corps Databook",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/ops/OMMC_DATABOOK.PDF,Marine.Corps,O.M,not.reserve,PBR.for.this.program.was.amended
8,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Operation & Maintenance, Navy Reserve",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/ops/OMNR_BOOK.PDF,Navy,O.M,reserve,PBR.for.this.program.was.amended
9,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Operation & Maintenance, Marine Corps Reserve",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/ops/OMMCR_BOOK.PDF,Marine.Corps,O.M,reserve,PBR.for.this.program.was.amended
10,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Military Personnel, Navy",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/pers/MPN_BOOK.PDF,Navy,Military.Personnel,not.reserve,PBR.for.this.program.was.amended
11,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Military Personnel, Marine Corps",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/pers/MPMC_BOOK.PDF,Marine.Corps,Military.Personnel,not.reserve,PBR.for.this.program.was.amended
12,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Reserve Personnel, Navy",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/pers/RPN_BOOK.PDF,Navy,Military.Personnel,reserve,PBR.for.this.program.was.amended
13,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Reserve Personnel, Marine Corps",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/pers/RPMC_BOOK.PDF,Marine.Corps,Military.Personnel,reserve,PBR.for.this.program.was.amended
14,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Weapons Procurement, Navy",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/WPN_BOOK.PDF,Navy,Procurement.General,not.reserve,PBR.for.this.program.was.amended
15,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Shipbuilding and Conversion, Navy",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/SCN_BOOK.PDF,Navy,Procurement.General,not.reserve,PBR.for.this.program.was.amended
16,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,National Defense Sealift Fund,http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/NDSF_BOOK.PDF,NA,Procurement.General,not.reserve,PBR.for.this.program.was.amended
17,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Consolidated Spares and Repair Parts, Navy",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/SPARES_BOOK.PDF,Navy,Procurement.General,not.reserve,PBR.for.this.program.was.amended
18,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Aircraft Procurement, BA 1-4",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/APN_BA_1-4_BOOK.PDF,NA,Procurement.Aircraft,not.reserve,not.amended
19,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Aircraft Procurement, BA 5",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/APN_BA_5_BOOK.PDF,NA,Procurement.Aircraft,not.reserve,not.amended
20,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Aircraft Procurement, BA 7",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/APN_BA_7_BOOK.PDF,NA,Procurement.Aircraft,not.reserve,not.amended
